15m/min,20m/min,30m/min,40m/min,50m/min,60m/min,70m/min,80m/min,90m/min,100m/min,110m/min,120m/min
-0.511618724,-0.321781236,0.548995066,0.303444402,-3.842028561,-1.455303626,3.153757985,3.111801149,-7.948295957,-11.95276644,5.724130055,-1.108643866
-0.149139173,-0.84314651,0.477462099,-1.131341827,-6.809271031,0.340586519,5.666353428,3.248676729,-7.642217399,-7.591318942,-0.803253125,-3.800759542
0.046888667,-1.084570272,0.608835143,-2.434067195,-7.171750582,2.069070601,6.234490257,1.902618891,-3.813828065,0.601956973,-5.994895722,-5.128934139
0.081279516,-0.865844471,0.891527924,-2.764219347,-4.31455883,3.261057434,3.881468354,-0.327971589,1.841403179,8.216090989,-8.541882015,-4.89370073
0.157627202,-0.360986804,0.807614252,-1.546095468,0.513228583,3.068468679,-0.153266075,-2.176135826,7.455365404,11.88077988,-7.375344409,-2.277932739
0.297254049,0.23328707,0.441695616,0.627406202,5.228214009,1.621301744,-4.117155355,-2.205024139,10.55122965,10.68122706,-3.900493005,1.8503448
0.294502782,0.886713205,0.070962262,2.473506988,8.146621473,0.12598762,-6.624248263,-1.540592932,8.971314037,5.284615002,-0.189720375,5.490960097
0.178949528,1.455537851,-0.171149317,3.022384941,7.971228142,-0.951133777,-6.181294125,-0.732407976,3.573326345,-1.574983782,3.350473642,7.059870638
0.017312537,1.655004776,-0.474476607,2.192877658,4.50738181,-1.612813716,-3.112942558,0.266990102,-3.460290135,-6.983976545,5.971056352,5.402231706
-0.156017343,1.278081069,-1.009598221,0.667299587,-0.867907922,-1.668526891,0.983007583,0.421061107,-9.171234555,-9.392023807,6.628609389,0.979568498
-0.465534986,0.2993175,-1.332184386,-1.021978926,-5.745905974,-0.927060182,4.374633132,0.268365736,-11.45616258,-8.227549653,5.485457561,-3.78081285
-0.74753995,-0.981397724,-1.052930691,-2.339836268,-7.828615802,0.007683099,6.016452273,0.421748924,-9.505513609,-4.540850617,2.63720743,-6.624248263
-0.751666851,-1.916828823,-0.408446176,-2.611523977,-6.739801516,0.586137183,5.50402862,-0.021893031,-3.681767204,0.139056143,-1.475250319,-6.678585804
-0.461408084,-1.982859253,0.273868272,-1.73043042,-3.363995757,0.700314802,3.097356992,-0.209667068,3.695757768,4.951711582,-5.272687889,-4.520903925
-0.068664586,-1.407156437,0.517355484,-0.153266075,1.118507529,0.354342859,-0.310088348,0.311698206,9.329666686,8.19064176,-6.937892807,-0.580400422
0.238101789,-0.578336971,0.458891041,1.381941434,4.862295374,0.01662472,-3.435528724,0.802111716,11.0230721,8.447197495,-5.798867882,4.0898769
0.399050963,0.372226101,0.758779246,2.162613711,6.524749025,0.121172902,-5.449456854,1.173532887,8.517354828,5.648470187,-2.883899502,6.799875818
0.382543356,1.192103946,1.456225668,2.056002078,5.724130055,0.337835252,-5.602152224,1.23681205,3.014818954,0.677616842,0.508413864,6.187718702
0.447198152,1.559398216,1.797382892,1.260197827,2.798156604,0.533175275,-3.720972772,0.851634539,-3.096434951,-4.25059185,3.918610471,3.239735108
0.621903666,1.465855106,1.284959239,-0.061786416,-0.942192156,0.858512709,-0.174588402,0.459578858,-7.424179415,-7.691740222,5.653284906,-1.061184494
0.682431561,0.880522852,0.062020641,-1.523397508,-4.238211144,0.994012654,3.792052146,-0.413260895,-9.079754896,-8.764734718,4.265270231,-5.307078738
0.421061107,0.004931831,-1.149912885,-2.618402147,-6.143464191,0.790418827,6.319091746,-1.826036981,-7.719252902,-5.995583539,1.731352462,-7.195824177
-0.203476715,-0.722090721,-1.848734941,-2.929295423,-5.906167331,0.159002836,6.4710993,-2.603270173,-3.148021224,-0.557014645,-0.030834652,-5.606966943
-0.922933281,-1.188430636,-1.9402146,-1.928521711,-3.190665877,-1.025418011,4.311353969,-2.311635772,2.754136317,4.122204299,-1.327369667,-1.679531963
-1.385834111,-1.416098058,-1.668526891,0.129426705,1.148083659,-2.080529265,0.264238834,-0.87065919,7.206375656,6.273695825,-3.178972989,2.830484002
-1.241392544,-1.369326503,-1.180176833,2.116529973,4.829967975,-2.139681526,-3.806949895,1.221680076,8.894966352,5.693866108,-5.199779288,6.275759276
-0.407070542,-0.923621097,-0.203476715,2.912334223,6.156079121,-1.570169063,-6.396580841,2.970798667,7.608060775,3.365605616,-5.230731053,7.295104047
0.72370058,0.203023123,1.209987188,2.378588244,5.050757227,-0.33691321,-6.653136576,3.778983624,3.961942941,0.383918989,-2.800673647,4.847851217
1.559398216,1.596540333,2.469380086,1.165279084,2.185311671,1.286334873,-3.941762024,3.115240234,-1.033671815,-2.872894431,0.368099199,-0.51712126
1.841403179,2.439803955,2.96323268,-0.12712903,-1.508265534,2.600065313,0.46370576,0.99057357,-5.598713139,-5.425383259,3.792739963,-6.026535303
1.538075889,2.385466414,2.492765863,-1.139595631,-4.843490091,3.219788415,4.043105346,-1.328057484,-8.004009133,-6.082248479,6.748977361,-8.870658533
0.650104162,1.328291709,1.174220704,-1.505514266,-6.496314304,2.689481521,6.1471375,-3.178285172,-7.271484045,-4.335193339,7.57710901,-7.389100749
-0.433895405,-0.123002128,-0.563204998,-1.429854398,-5.245863026,0.988510119,6.244807512,-4.152921838,-4.035305134,-0.69732931,5.749579283,-2.174072375
-1.288851916,-1.215255499,-2.215341394,-0.997905332,-1.797836484,-1.172610846,4.099506338,-3.770495595,0.496720975,2.839425623,0.721637129,4.283153473
-1.627257872,-1.70979591,-3.165904466,-0.138821919,1.837964094,-3.173470453,0.306883487,-2.180262728,4.700658382,4.662140631,-5.468715729,9.066920598
-1.515831521,-1.814344092,-3.028341069,0.664548319,4.479181313,-4.441804972,-3.753987988,0.139056143,7.025479789,4.855417204,-8.58865357,10.43773985
-1.05086724,-1.55710054,-1.956034391,1.052477098,5.526038763,-4.240962412,-6.386263586,2.58699679,6.673317493,3.719143546,-7.754331568,7.72774093
-0.301146727,-0.902986588,-0.352045184,1.084804496,4.587856397,-2.16375512,-6.35806309,3.889722158,3.682689246,1.183850142,-3.899805188,1.62680428
0.540741262,0.204398757,1.222367893,0.891527924,1.977590942,0.931421309,-3.80351081,3.809247571,-0.774364812,-2.224970832,2.128910678,-5.789238444
1.198982116,1.253319658,2.3201238,0.324078912,-1.651331467,3.751470944,0.340586519,2.371022257,-4.364081653,-4.780210928,7.292352779,-10.61977712
1.333794245,1.621301744,2.572552633,-0.674631349,-4.90745707,5.447627627,4.404897079,-0.328659406,-5.873152116,-4.897827632,9.602042212,-10.82612222
0.941738564,1.23681205,1.906745793,-1.782016694,-6.142776374,5.033561803,6.562578959,-2.773848785,-5.327713247,-2.714008707,8.604019768,-6.883555266
0.300005317,0.564127039,0.858512709,-1.905823751,-4.774708392,2.476946072,5.736510761,-3.465104854,-3.24706687,0.25598503,4.008714496,0.080591699
-0.35961117,0.034507962,-0.054908246,-0.598283664,-1.69397612,-0.852775948,2.097271097,-2.947178665,-0.591405494,2.871065204,-2.501473259,7.285474609
-0.748915584,-0.305273629,-1.0735652,1.052477098,1.639184986,-3.676264668,-2.672739688,-1.708420276,1.628179914,4.033475908,-7.660788458,11.03270154
-0.723466355,-0.639552683,-2.009684116,1.859286421,4.064427672,-5.01475652,-6.546524943,-0.277760949,2.857308865,3.623536985,-9.316363939,9.931506547
-0.417387797,-0.776428263,-2.2277221,1.525007366,4.951711582,-4.546353153,-7.465448434,1.29390086,3.265872153,2.51408819,-7.10159325,4.610554357
-0.049405711,-0.54669739,-1.381707209,0.628781836,4.071305842,-2.749087374,-4.942535736,2.412291276,3.025136209,1.188664861,-2.985696416,-2.260737315
0.13974396,-0.115436141,0.121172902,-0.065225501,1.9232534,-0.151202624,-0.61066437,2.192877658,1.91637523,-0.686324238,1.787065637,-7.805230025
0.101226209,0.298629683,1.344111499,-0.332098491,-0.737910512,2.368958806,3.921361739,1.146020208,0.235350521,-2.823371608,6.621731219,-10.70300298
0.088845503,0.293814965,1.652253508,-0.453842097,-2.91416345,3.64761058,6.994528025,0.471271746,-1.620379702,-4.476883638,8.932796286,-9.401653245
0.2993175,0.048264301,1.168030351,-0.385060399,-3.748485452,3.514861902,7.061246272,-0.22961376,-2.945115214,-4.088267042,6.806753988,-3.722348406
0.649416345,-0.105118886,0.388733708,-0.105806703,-3.180348623,2.512712556,4.252201709,-1.060496677,-3.059292833,-1.358321432,1.72722556,3.042331633
0.851634539,-0.152578258,-0.247497002,0.205086574,-1.683658865,1.046286745,-0.216545238,-1.868681634,-2.141744977,1.712093586,-3.949328011,7.630758735
0.78285284,-0.188344741,-0.583839507,0.352279408,0.401114414,-0.614103455,-4.587622172,-2.341899719,-0.719339453,3.860833845,-8.35135671,8.379103614
0.434129629,-0.131255932,-0.515057809,0.095035856,2.198380194,-2.07709018,-6.897999422,-1.768260354,0.61640113,4.719917258,-9.754503358,5.918094444
-0.092738181,-0.109933605,-0.066601135,-0.404319274,2.728687089,-2.945115214,-6.592608681,0.067523177,1.414956649,3.631790789,-7.083710008,2.00304017
-0.684260787,-0.123002128,0.571693026,-0.630611062,1.824207754,-2.799298013,-4.154297472,2.056689895,1.768494579,1.009144628,-1.197372257,-1.840481137
-1.168483944,-0.183530022,1.040784209,-0.336225393,0.037947046,-1.571544697,-0.249560453,2.858684499,1.542890608,-2.075026729,4.981975529,-4.723809935
-1.172610846,-0.25712644,1.018774066,0.192705868,-1.562603076,-0.000570705,4.062364221,2.357953734,1.062106536,-4.541538434,8.452012214,-5.84495162
-0.598971481,-0.372679693,0.492594073,0.649416345,-2.029630808,1.018774066,6.83357885,1.599979418,1.01327153,-4.797406353,7.669964303,-4.699736341
0.270429187,-0.386436033,-0.450403012,1.262949095,-1.198060074,1.443157145,6.45734296,0.500847877,0.853010173,-2.667237152,3.783798342,-1.418849326
0.977505047,-0.036337188,-1.544032017,1.986532563,0.269053553,1.35993129,3.067093045,-1.131341827,0.490530622,0.051703386,-0.834892707,2.071134052
1.30284248,0.682431561,-2.370100215,2.163301528,1.575905823,1.399136858,-1.841168954,-2.599831088,0.111543464,2.223829422,-5.118616884,4.46404934
1.159088731,1.278081069,-2.222219564,1.171469436,2.244463932,1.833837192,-5.850454155,-2.982257331,-0.6037862,3.139313828,-7.678671699,5.351333249
0.701002619,1.388131786,-0.944255607,-0.906425673,2.071821869,1.972776223,-6.992230349,-1.882437973,-1.361072699,2.914397674,-6.64075587,4.651823377
-0.02670775,0.883961937,1.108190274,-2.88665077,1.122634431,1.067609072,-4.831797202,-0.151202624,-1.676092878,2.355890283,-2.724325962,2.495517131
-0.902986588,0.123236352,3.167514325,-3.546955075,-0.323844687,-0.404319274,-0.427705052,1.036657308,-1.581861951,1.538075889,1.595852516,-0.706958747
-1.668526891,-0.499238018,4.25426516,-2.533112841,-1.507577717,-1.785455779,4.374633132,1.544954059,-1.032296181,-0.585902958,4.981975529,-3.932820403
-1.925082627,-0.760608472,3.723958265,-0.316966517,-1.639638578,-2.606021441,6.896858013,1.539451523,-0.071415854,-3.847531097,6.802627086,-5.835322182
-1.426415313,-0.850712497,1.624053012,1.844842264,-0.934626169,-2.795171112,6.354858229,0.705129521,1.168718168,-6.122141864,6.387185628,-5.882781554
-0.365113706,-0.852088131,-1.366575235,2.892387531,-0.280512217,-1.838417686,3.261057434,-0.468974071,2.390968949,-5.332527966,3.969508928,-3.905995541
0.859200526,-0.636801415,-3.798696091,2.551230307,0.110855647,0.393548427,-1.294354452,-1.213192048,2.91302204,-2.018625736,0.442383433,-0.38712385
1.762992043,-0.247497002,-4.673599295,1.033218223,0.513228583,2.688793704,-5.266497536,-1.219382401,2.547103405,2.394408034,-2.866016261,3.278940676
1.963834602,0.148685581,-3.991284847,-0.966953567,0.922479688,3.607029378,-6.939268441,-0.778491714,1.216865357,5.756457453,-4.992058559,5.419427131
1.412205381,0.412807303,-2.448511351,-2.695437649,1.104751189,3.093917907,-5.91098205,0.054454654,-1.300544805,6.268881106,-4.582119637,5.434559105
0.225033266,0.589576268,-0.74753995,-3.434840907,0.875708133,1.38950742,-2.215341394,1.212738455,-4.136414231,4.204742337,-1.570169063,3.38967921
-0.999968783,0.726451848,1.544266242,-2.598455454,0.391484976,-0.939440888,2.563611012,2.065631516,-5.205281824,0.930045675,1.986532563,0.101226209
-1.552285821,0.677616842,4.16760022,-0.494423299,0.138368326,-3.260135393,5.971056352,1.705215416,-3.920439698,-2.165130754,3.690255233,-3.166592283
-1.279910295,0.264238834,5.649845821,1.657068227,0.175510443,-4.69079472,6.911989987,0.066147543,-1.118961121,-3.936259488,2.946037256,-5.065654976
-0.46003245,-0.442837026,5.160120128,3.035453464,-0.162895513,-4.525718644,5.009488208,-1.96772728,2.016108693,-3.832399124,1.124697881,-4.950101723
0.476774282,-1.092136259,2.626202358,3.339468571,-0.961451032,-2.448511351,1.286334873,-3.198919681,4.17654184,-2.146559695,-0.918118562,-2.878396967
1.189352678,-1.200811342,-1.289539733,2.629641443,-1.535778213,0.993324838,-2.507663612,-2.848133019,4.620183795,0.088157686,-2.460892057,-0.010200142
1.274641984,-0.387811667,-4.734815007,1.003642092,-1.473186868,4.107072325,-5.487286788,-0.873410458,3.30989244,1.735479363,-2.433379378,3.354600544
0.632220921,0.797296997,-6.281027588,-1.147161617,-0.771613544,5.477891575,-6.226690046,1.941136642,0.985758851,2.641334332,-1.338374739,5.924972614
-0.278448766,1.456225668,-5.42056854,-2.982257331,0.202335306,4.832031426,-4.080701055,4.203366703,-1.237953459,3.233544755,-0.338288844,5.775716329
-0.878225177,1.094433934,-2.563376788,-3.626741845,1.117131895,2.531971431,-0.501989286,4.638754854,-3.207173485,3.827818629,0.216091645,3.258993983
-1.061184494,0.170007907,0.764969599,-2.687871662,1.897804172,-0.748915584,2.777522095,3.014818954,-4.311807562,3.428196962,-0.095489448,-0.32315687
-1.017852024,-0.501301469,3.372483786,-0.609288736,2.258908088,-3.908746809,4.783884237,0.048264301,-3.824833137,0.840629467,-0.260565525,-4.168053812
-0.689763323,-0.627859794,4.615369076,1.560086032,1.768494579,-5.712890759,4.814836002,-2.885962953,-2.108041944,-2.82062034,-0.255062989,-5.77410647
0.002180563,-0.468974071,4.079559646,3.019633673,0.667299587,-5.131685407,3.217724964,-4.240962412,0.301380951,-5.412314736,-0.879600811,-4.427360815
0.944489832,-0.377494412,2.355202466,3.319521878,-0.579712605,-2.641787924,0.790418827,-3.739543831,2.236897945,-5.214911262,-1.240704727,-1.218006767
1.555271314,-0.354796452,0.533863092,2.179809135,-1.5797985,0.390797159,-1.668526891,-1.75312838,2.856621048,-2.427876842,-0.491672031,2.888948446
1.448659681,-0.262628976,-1.081819004,0.202335306,-1.973917632,3.085664103,-3.583409375,0.789043193,2.419857263,0.938987296,0.650791979,5.83693204
0.637723457,-0.079669658,-2.144496244,-1.620379702,-1.845983673,4.616056893,-4.208635014,2.698423141,1.219616625,3.407562452,1.507124125,5.722066604
-0.912616026,0.018688171,-2.546181363,-2.609460526,-1.488318842,4.563094986,-2.899719293,3.448143654,-0.540507037,4.185483461,1.282895788,2.750009415
-2.517980867,-0.003321973,-2.495282906,-2.449886985,-0.675319166,2.96323268,-0.479291326,3.045082901,-1.744874577,2.454935929,0.542804713,-1.416098058
-2.870143163,0.148685581,-1.704981192,-1.431230032,0.411431669,0.063396275,2.068382784,1.679078371,-1.624506604,-0.435271039,0.058581556,-4.68391655
-1.591491389,0.568253941,-0.105118886,-0.138134102,1.379877983,-3.012521279,4.069242391,0.050327752,-0.392626386,-2.793107661,-1.0006566,-5.583581166
0.568253941,0.917664969,1.689395626,1.095121751,1.920502132,-4.779523111,4.616056893,-1.371389954,0.813116788,-3.656317976,-2.150686597,-3.842028561
2.611758201,0.698251351,2.397159302,1.831773741,1.575218006,-4.601378512,3.116615868,-2.345338804,1.109565908,-2.552371716,-1.790958315,-0.616166906
3.77760799,-0.054908246,1.394322139,1.833837192,0.296566233,-2.566815873,0.077152615,-2.736706668,0.294502782,-0.351357367,-0.329347223,2.211448717
3.646922763,-0.568019717,-0.382996948,1.085492313,-1.165732676,0.372913918,-3.524257115,-1.936087698,-0.971080469,1.434903341,1.793943807,3.500417745
2.169491881,-0.353420818,-1.236577825,-0.019141763,-2.116295748,2.921963661,-5.952938886,-0.020517397,-2.019313553,2.040870104,4.082310914,3.321585329
-0.125753396,0.251170312,-0.530189783,-0.842458693,-2.072963278,4.201991069,-5.561571022,2.166052796,-1.850798392,1.41014193,4.605739639,2.260971539
-2.326079928,0.471271746,0.78973101,-1.158166689,-1.111395134,3.812686656,-2.449886985,3.245237644,-0.050781345,0.475398648,2.549854673,0.512540766
-3.6735134,-0.00400979,1.59034998,-1.20356261,0.120485085,1.740294082,1.686644358,2.549854673,2.140603567,-0.048717894,-0.846585595,-1.790270498
-3.597853532,-0.638864866,1.342048049,-0.854839399,1.133639502,-0.679446068,4.882929883,0.448573786,3.392430478,-0.297707642,-3.482988096,-3.273203916
-2.27105457,-0.900923137,0.112919098,-0.029459018,1.697649429,-2.204336322,5.920157895,-1.491070109,3.420630975,-0.656748108,-4.721058667,-2.92998324
-0.420826882,-0.83420489,-1.558476174,0.772535586,1.766431128,-2.588138199,4.499815823,-2.550996082,2.212824351,-1.287476282,-4.71349268,-1.762757818
1.245065854,-0.700768395,-2.786229491,1.130888234,1.497494687,-2.006245031,1.531885536,-2.548244814,0.162441921,-1.409907705,-2.769034066,-0.985524626
2.512712556,-0.562517181,-2.805488366,0.764281782,0.769784318,-0.837643974,-1.817783177,-1.175362114,-1.870057268,-0.639552683,1.159088731,-0.092738181
3.258306167,-0.104431069,-1.699478656,-0.046654443,-0.42357815,0.256672847,-4.705926694,0.540053445,-3.532510919,0.626718385,4.677272605,0.825497493
2.866938302,0.710632057,0.159690653,-0.649182121,-1.460118345,1.097873019,-6.129707851,1.336545513,-4.714180497,2.170867514,5.852064014,0.934172577
0.906659897,1.560086032,2.151608639,-0.803940942,-1.869369451,1.295276494,-5.294010215,1.290461775,-4.126096976,2.590435875,4.605739639,0.67348994
-1.747625845,1.67701492,3.324336597,-0.369928425,-1.805402471,1.007768994,-2.247668792,0.759467063,-1.605247729,1.275329801,1.604106319,0.654231064
-3.565526134,1.06348217,3.202592991,0.452012871,-1.279222478,0.51597985,1.842090996,0.220906364,1.901243257,-0.816321648,-2.094973422,0.89703046
-3.702401714,0.421748924,2.112403071,1.005017726,-0.072791488,0.192018051,5.383660648,0.151436849,5.495086999,-2.702315819,-5.205281824,1.288398324
-2.384544372,0.022815073,0.738832553,1.392946505,1.544954059,0.184452064,7.125213252,0.43619308,7.552347599,-3.425899286,-6.480494513,1.466542923
-0.422890333,-0.387811667,-0.6766948,1.529822085,2.668847011,0.378416454,6.265442021,0.530424007,6.618979951,-2.267615485,-4.658467322,0.81724369
1.362682558,-0.941504339,-2.218092662,0.845444186,2.647524685,0.52973619,2.540913052,-0.07004022,2.824293649,0.085406418,-0.975207371,-0.897484052
2.590435875,-1.407156437,-3.336483078,-0.524687247,1.251944024,0.68724628,-2.49665854,-1.02335456,-2.924480705,2.111027437,2.346260845,-3.015960363
2.922651478,-1.124463657,-3.349551601,-1.81021719,-1.231075289,0.797296997,-6.507319375,-1.656146186,-8.120250203,2.914397674,4.788011139,-4.192815223
2.358641551,-0.023956482,-1.940902417,-2.365285496,-3.549018526,0.439632165,-7.965491382,-1.249646348,-10.16650573,2.269225343,5.96005128,-3.350927235
