15m/min,20m/min,30m/min,40m/min,50m/min,60m/min,70m/min,80m/min,90m/min,100m/min,110m/min,120m/min,°
-0.143933819,0.163202261,2.43165078,-1.382012297,4.195469954,3.179401148,-1.456242524,9.834243217,-1.909115015,-12.28568364,4.03747534,-11.16337708,-1.542730955
0.567722952,0.622884864,1.96788211,0.845575547,2.04892245,3.634316672,3.573025659,13.88694125,-5.750018542,-11.82055295,1.706373785,-2.164494239,-1.984026254
-1.394951511,0.308938671,0.196571813,3.359869133,-1.226741728,3.767113869,7.761925942,11.52247014,-7.475701085,-6.901608589,-0.596125298,5.289855054,-1.387460387
-2.808730894,-0.432682595,-1.910477037,4.46310738,-3.704941717,2.420073589,8.980936104,4.217943325,-10.2215385,-1.429683085,-1.6966395,12.20824848,-0.463328102
-1.224017683,-0.924372727,-2.953105282,2.364911677,-4.731906703,-1.303696001,6.261658128,-3.35626395,-7.627566596,3.002338219,-4.215700165,17.44454409,0.233346421
1.961071997,-0.670355526,-2.353134359,-0.760930024,-4.350540395,-4.039999259,1.109126906,-8.022553129,-0.735732607,8.006408986,-7.259139503,15.19243984,0.790413635
3.145350585,0.327325975,-0.552540577,-2.641202123,-1.93363142,-5.118040089,-3.494509237,-11.30434641,6.305242849,11.26845294,-6.759277235,6.657325672,1.058732073
0.59360138,0.676003743,1.049878926,-3.290205858,2.422797634,-4.328067023,-6.710925435,-11.21922,10.49141909,9.909154456,-1.057169924,-5.552525276,0.956580383
-2.154960081,0.168650351,1.199701404,-3.299740015,5.667816306,-1.709578714,-7.921763462,-6.892074432,8.728961936,3.216175756,5.287812021,-15.73772974,0.466933285
-2.191053678,-0.324401804,0.649444303,-3.521068676,4.164824447,0.334817099,-5.665573145,-0.544368442,5.650791024,-2.275499075,7.102707039,-19.22178336,-0.267877869
-0.624727771,-0.461966079,0.90618555,-2.002413558,0.38384991,2.341076282,-2.830523255,6.890912535,1.969925144,-5.648547864,5.901403169,-15.62876793,-0.779998339
0.527543287,-0.239275396,1.005613194,1.595368949,-2.66095145,3.785501173,0.742061835,10.59629482,-4.168029377,-9.097188904,5.189746399,-5.459226733,-1.102797678
0.036534166,-0.223612137,-0.101030109,4.28536344,-4.545990628,3.985718484,5.730469342,10.36747504,-8.133557965,-9.469702065,0.394746091,5.374300451,-1.272369483
-1.113012847,-0.87193486,-1.560437248,4.532570529,-5.540948084,2.508605053,7.671351444,7.651602117,-10.13981715,-7.159030847,-6.560421946,13.75346304,-1.127995095
-0.48375844,-1.346599711,-2.490698634,2.702693263,-5.056749076,-0.876020928,5.441720566,0.28101721,-9.389342736,-0.554583611,-7.320430516,18.03906692,-0.62404676
1.343394781,-1.016990259,-2.216251095,0.198614847,-1.606065002,-2.54245549,1.034215667,-7.744700534,-4.669934678,7.510632785,-4.291973427,13.97411069,-0.064255501
1.946089749,-0.358452367,-1.458285558,-1.568609383,3.264527556,-3.233000911,-3.760784641,-11.65915328,0.601773515,8.624767213,-2.74743988,5.122326284,0.382487888
0.092377089,0.226536308,-0.922329693,-3.164218774,5.868714629,-3.993009482,-5.673064269,-11.03807101,3.873351626,6.882059389,-1.364306004,-5.158219754,0.528224298
-1.954061758,0.360014516,0.850342626,-4.082902969,5.322543595,-2.547222569,-5.22087279,-6.735441841,7.037329957,4.981356952,0.639229134,-13.20436784,0.266715973
-1.566566349,0.120298551,3.179401148,-3.826161722,2.934918104,0.253095748,-4.806136931,-2.005818614,9.868974792,0.447864969,3.48245116,-13.12196547,-0.309419556
0.191123723,-0.089452918,3.425246214,-2.656865382,0.04947338,2.121109644,-2.61804774,5.104619991,7.551493461,-3.001457082,4.181168717,-10.42788491,-0.727560472
0.225855297,-0.408847201,1.502751417,0.475786431,-2.238043455,3.412307,2.552189774,11.05393439,1.201063427,-5.806542477,1.765621765,-6.650996444,-0.616555636
-1.321402294,-1.035377563,-0.626770805,3.294492052,-5.348902908,3.136497438,6.214668351,9.688506807,-3.995733527,-6.159987323,0.996760048,1.282784779,-0.567522825
-2.071195695,-1.737500176,-2.40761526,3.516501724,-7.107955002,1.942684693,5.091680777,5.526165963,-9.160522951,-4.259965897,1.848705139,9.014986667,-0.421105403
-0.848780477,-1.672123095,-3.042998769,2.820508212,-4.682192881,0.244242601,1.66074603,-0.033609994,-10.43128997,-4.251112751,0.769302286,12.15444859,-0.249490565
1.352928939,-0.196371686,-2.084134909,1.168374886,-0.201138765,-2.42940762,-1.047635766,-6.584938352,-7.076628484,-1.347961733,-3.176476976,11.21533406,-0.080599771
2.35605853,1.487769169,-0.722112382,-0.757524968,3.421160147,-5.03223267,-3.886771725,-8.762812373,-3.187373157,2.750364052,-7.827783908,4.973865828,0.196571813
0.517328118,2.144945038,0.002483603,-1.843056922,4.987486053,-5.043809862,-4.936891093,-8.211193249,2.044155371,5.263295615,-6.443288009,-4.133978813,0.2864653
-2.690915945,1.73633828,0.263310917,-3.240492035,4.839706609,-1.78244692,-4.14828005,-4.485380625,6.473452631,7.073423554,-0.792937553,-10.69211728,0.143452934
-3.141064391,0.416538451,0.217683162,-3.712432841,4.076292982,1.345437815,-2.93063191,0.80948195,7.868163699,3.523992848,1.05192196,-11.91929958,-0.123503481
-0.534834284,-0.71053519,0.29191339,-1.828755686,2.327456057,2.308387742,0.444459913,4.608162779,7.934221792,-1.837608832,2.103403351,-8.726718776,-0.259024723
1.131600278,-1.22197465,1.512285574,0.55069767,-2.014671761,2.30225864,4.412712547,7.6747565,4.890782454,-4.130573757,4.68375503,-1.392908477,-0.309419556
-0.043144152,-2.023524907,2.21032212,2.488174715,-6.716373525,1.924297389,5.131860441,7.541278292,-0.767740137,-6.122531703,4.298983666,5.436272476,-0.358452367
-1.349323756,-2.31091166,0.540482501,2.673409779,-7.857067392,1.552465239,2.743553939,3.35305902,-6.044215408,-4.893987384,2.710184387,8.222289556,-0.5539026
-0.231784272,-1.799472201,-1.908434003,0.827869254,-5.243346162,0.069903718,-0.64039103,-0.81268688,-7.982373465,-1.646244667,0.540482501,5.957246093,-0.7534389
1.867092443,-0.718026314,-3.873832511,0.314386761,-0.971362504,-2.887047189,-3.245259114,-5.938658662,-6.829421395,1.574938611,-2.089583,1.368592198,-0.654011256
2.11906661,0.682132844,-3.438666313,0.389979012,2.056413574,-3.791430148,-3.768275765,-9.620886565,-4.507853997,6.119326774,-2.789662579,-1.278498584,-0.433363606
-0.291713263,0.794499702,-0.839246319,-1.170898805,3.157608788,-2.082772887,-3.939209592,-7.768535928,-1.43240713,5.748856646,-1.553627135,-4.563015909,-0.136442695
-2.422597508,0.255819793,0.790413635,-2.618728751,4.690565142,-0.191604607,-2.74199179,-3.330385522,2.438460893,0.709373294,-0.587272152,-7.530862997,0.158435182
