,IIR(g),IIR(g).1,IIR(g).2,IIR(g).3,IIR(g).4,IIR(g).5,IIR(g).6,IIR(g).7,IIR(g).8,IIR(g).9,IIR(g).10,IIR(g).11,IIR(g).12,IIR(g).13,IIR(g).14,IIR(g).15,IIR(g).16,IIR(g).17,IIR(g).18,IIR(g).19,IIR(g).20,IIR(g).21,IIR(g).22,IIR(g).23,IIR(g).24,IIR(g).25,IIR(g).26,IIR(g).27,IIR(g).28,IIR(g).29
0,-2.7264444828,0.9913299084,-10.2403802872,0.6283243299,1.5073764324,-3.7855994701,-1.2697561979,0.117876932,0.3483714759,3.6415505409,6.0202169418,0.278383255,-2.7040481567,-1.7055494785,-7.0638475418,-1.2342954874,3.5603642464,-0.2675248682,1.820923686,-0.9608748555,-1.8791203499,-1.2557585239,0.5602024794,7.5832872391,3.2841441631,-0.6267977357,2.5627987385,-3.0829176903,-1.4993175268,0.2914477289
1,-5.7331385612,-0.7107836008,-10.1060028076,2.5599992275,3.1096401215,0.8681506515,-3.9787669182,-0.9646075368,-2.9578721523,5.3641939163,6.1070022583,-0.7406452298,-1.9743043184,-2.308381319,-6.9434680939,-1.859523654,3.4623806477,4.2975735664,-1.624363184,-5.7228736877,-2.2701210976,0.3595695794,-1.4834536314,2.8427517414,2.8147563934,0.859752059,5.139298439,-2.7423083782,-0.4961530566,2.7848947048
2,-6.162399292,-3.2639539242,-6.640185833,3.9681622982,3.6900756359,5.6030869484,-5.4046602249,-0.7210485339,-5.874048233,3.9933581352,4.6428489685,-2.2309277058,-1.2706893682,-2.1861352921,-3.4421906471,-1.7130149603,0.7627017498,7.0616416931,-3.7790672779,-7.4511160851,-1.0252640247,1.1033110619,-2.3606393337,-1.8632563353,1.23115623,2.1428694725,6.3123011589,-2.2047989368,0.8914800882,4.0241527557
3,-3.7977306843,-5.2889466286,-0.1172834933,3.0275206566,2.7578325272,8.1189308167,-4.6011953354,0.3455719352,-6.2557172775,1.6193575859,2.2408530712,-2.9793350697,0.1169437543,-1.3014842272,2.5142736435,-0.7135831714,-1.3425439596,6.7760896683,-3.9880986214,-5.6360878944,2.2893781662,1.5904290676,-2.2869184017,-4.6749162674,-0.600668788,3.1124396324,4.402089119,-1.2333623171,1.3515360355,3.0041911602
4,0.6572528481,-5.5903625488,7.1502933502,-0.2255319506,0.9763991237,7.2510766983,-1.7232798338,0.7766993642,-2.9998650551,-0.2712575793,-1.0532592535,-2.4371597767,2.801692009,-0.0715578571,8.1469259262,0.8952127695,-0.4233653247,3.6480827332,-2.5202124119,-1.5142483711,5.3996548653,1.7518686056,-1.3789378405,-5.1667003632,-2.0498914719,2.9808616638,0.6581860185,0.2335907817,1.0081270933,0.8364226818
5,4.8304171562,-3.2378249168,11.7508525848,-3.9339745045,-0.6333299875,3.6004908085,2.2128577232,0.32877478,1.7528017759,-1.0756555796,-4.1103448868,-0.7611751556,5.2904729843,0.873749733,10.1868486404,2.7139732838,3.0032579899,-0.8563591242,-0.4401624799,2.6411855221,6.0332813263,1.318874836,-0.397236377,-4.1140775681,-2.6219286919,1.4308559895,-2.9252109528,1.9282388687,0.2167936116,-0.8442278504
6,6.6930370331,1.1191750765,11.5156917572,-5.528772831,-1.8221966028,-1.0831209421,5.2382154465,-0.4121671915,5.6320157051,-0.4672245979,-5.5623669624,1.9273056984,6.2292485237,1.6109589338,7.4722390175,3.6331520081,6.4401464462,-4.5685343742,1.4373881817,4.7380328178,3.562230587,0.6124603748,0.1897315085,-1.8053994179,-1.8949843645,-0.487754494,-5.6015605927,3.4231872559,-0.8236979246,-1.264157176
7,5.3352656364,5.5592279434,6.6641087532,-3.8630530834,-2.1320111752,-4.9959292412,6.1340646744,-1.8529913425,7.2604084015,0.7169761062,-4.6945133209,4.0418829918,4.9022717476,2.791426897,1.5773646832,3.3289365768,6.5427956581,-6.044819355,2.966864109,4.1631960869,-0.5297474265,0.1486717463,1.1145092249,1.2535524368,-0.3552434444,-2.1068153381,-6.2137241364,3.6163549423,-0.7098504305,-0.5138834119
8,1.6006940603,8.2094488144,-0.0127677508,0.4155601561,-1.3005510569,-6.566464901,5.4715094566,-2.9588053226,6.4700078964,1.3664667606,-2.0340275764,3.6994075775,2.2147240639,3.7899255753,-4.2727174759,2.521739006,2.2968435287,-4.8979454041,4.4328842163,2.697176218,-3.7118785381,0.5844650865,2.6533169746,4.0092220306,1.3412710428,-2.6303272247,-4.1588702202,2.4825456142,1.0342561007,0.4258250892
9,-1.652358532,7.9938845634,-5.5605006218,5.2671437263,0.4342236817,-4.8475542068,2.9864609241,-1.9873688221,4.2098550797,0.813093245,1.5185744762,1.6062930822,-0.4532269537,3.7441999912,-7.1944923401,1.585763216,-4.0216932297,-1.7102154493,5.5956215858,2.1195399761,-4.2652521133,1.6473528147,4.6400489807,5.6264166832,2.9286038876,-1.7699387074,0.5639352202,1.0445209742,2.8390190601,0.2438557297
