f_o,f_inf,k,alpha,N_alpha,fit-score,3s,Xbar-x
196.41265958233393,1.0258265139337048,3,0.06621471423052627,61.108048173420826,0.021652156548652872,0.2791936556055322,1.2144798498961364
254.99603247580384,0.7694885905722968,3,0.06014882706348332,61.2389047604185,0.6965441403638336,0.2616328111070111,0.9249426344081044
289.61272584657297,0.8009594516833911,3,0.019718245493885317,82.60846834427701,1.286708951945739,0.25740209358638894,0.8638784221171321
306.1623890962935,0.5234670700365491,2,0.06690821616937863,50.97586149297668,7.709220969418336,0.2391073504401408,0.6550848153374567
438.88061394962415,0.533269048208256,2,0.02194605508416944,65.82134552626648,13.48310748634649,0.22637176280783344,0.5760616427191607
449.52137589873615,0.3563160204625317,2,0.02166473733162875,64.89862992013073,10.686168149337,0.2171250049521107,0.6131896181065706
597.392215878293,0.30252891725628256,2,0.02020800488583782,62.93691745198753,19.852412643478125,0.20760446925642298,0.5165157324243772
756.6374190754428,0.22844792882571946,2,0.022692431318984074,57.58961370310054,22.414617308135572,0.20231480717146008,0.4961435205702749
836.5263467654889,0.16006508542556197,2,0.02721275036369969,54.64535142566434,30.27685859986643,0.19919270863680322,0.4390248801353245
852.566775615744,0.11716787412824728,2,0.026992235880542136,54.89347150723141,32.66615583255146,0.19765166768080156,0.4235738269447076
789.4976647155997,0.08520503340974125,2,0.018033743065430274,61.956898037813716,30.437233338249253,0.19637044872328924,0.43865690142685665
705.3701196040658,0.06068894405854966,2,0.023098087165847755,59.385349094775286,26.74893167358892,0.1957849399913039,0.4645427987539499
744.1336349555991,0.04657062572361864,2,0.022148236136736447,58.92865710082032,25.59846865734744,0.1952419659977381,0.4731095021892848
769.0411578668051,0.03833267001457287,2,0.021257105480487173,59.47591119360689,28.167747531204746,0.19466755114985013,0.4546894196954838
784.1668104063345,0.03365633086961746,2,0.02081237658242523,59.64805112033932,29.1298298460265,0.19445818447438146,0.4480434970760143
825.7883347064795,0.025615998980691772,2,0.012041687736855516,67.88896392731237,33.03519260327396,0.19417474731515494,0.42208886418092106
843.1592818824979,0.014312000133624655,2,0.013609106254380844,65.48372367942055,32.32757032269288,0.1938213052978306,0.4267712350472799
746.9132435145801,0.012174368101824007,2,0.03235261822981091,53.83614212839951,30.510912558882136,0.19379701462735688,0.43880459015360174
756.213089188492,0.010013402071305012,2,0.012341646313828582,68.57726944390942,29.88124793648319,0.19359699480536552,0.44311019580219835
850.0500808025597,0.006954969169234533,2,0.018375634371429625,61.213235806445226,34.70489374714439,0.19356689217864895,0.4116020850910296
