f_o,f_inf,k,alpha,N_alpha
196.41265958233393,1.0258265139337048,3,0.06621471423052627,61.108048173420826
254.99603247580384,0.7694885905722968,3,0.06014882706348332,61.2389047604185
289.61272584657297,0.8009594516833911,3,0.019718245493885317,82.60846834427701
306.1623890962935,0.5234670700365491,2,0.06690821616937863,50.97586149297668
438.88061394962415,0.533269048208256,2,0.02194605508416944,65.82134552626648
449.52137589873615,0.3563160204625317,2,0.02166473733162875,64.89862992013073
597.392215878293,0.30252891725628256,2,0.02020800488583782,62.93691745198753
756.6374190754428,0.22844792882571946,2,0.022692431318984074,57.58961370310054
836.5263467654889,0.16006508542556197,2,0.02721275036369969,54.64535142566434
852.566775615744,0.11716787412824728,2,0.026992235880542136,54.89347150723141
789.4976647155997,0.08520503340974125,2,0.018033743065430274,61.956898037813716
705.3701196040658,0.06068894405854966,2,0.023098087165847755,59.385349094775286
744.1336349555991,0.04657062572361864,2,0.022148236136736447,58.92865710082032
769.0411578668051,0.03833267001457287,2,0.021257105480487173,59.47591119360689
784.1668104063345,0.03365633086961746,2,0.02081237658242523,59.64805112033932
825.7883347064795,0.025615998980691772,2,0.012041687736855516,67.88896392731237
843.1592818824979,0.014312000133624655,2,0.013609106254380844,65.48372367942055
746.9132435145801,0.012174368101824007,2,0.03235261822981091,53.83614212839951
756.213089188492,0.010013402071305012,2,0.012341646313828582,68.57726944390942
850.0500808025597,0.006954969169234533,2,0.018375634371429625,61.213235806445226
